NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
40;Sawangan;3;MT. Ar Roiyan;MT. 622633030040;;Jl. H. Maksum, No. 53, RT. 01/04;;;;
;;;;;;Kel. Sawangan Baru, Kec. Sawangan;;;;
;;;;;;;;;;
41;Sawangan;3;MT. Al Maghfiroh;MT. 622633030041;;Jl. Rivaria Dalam, RT. 001/001;;;;
;;;;;;Kel. Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
42;Sawangan;3;MT. Al Mukhtar;MT. 622633030042;;Jl. Abdul Wahab, RT. 003/009;;;;
;;;;;;Kel. Sawangan - Depok;;;;
;;;; ;;;;;;
43;Sawngan;3;MT. Metode Hija;MT. 622633030043;;Jl. Abdul Wahab, No. 30, Kelurahan;;;;
;;;;;;Sawangan, Kec. Sawangan;;;;
;;;;;;Kota Depok, Prov. Jawa Barat;;;;
44;Sawangan;3;MT. Arridho Atthosiyyah;MT. 622633030044;;Jl. Bambu Duri, RT. 003/007;;;;
;;;;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
45;Sawangan;3;MT. Ar Ridho;MT. 622633030045;;Kp. Kekupu, RT. 006/007;;;;
;;;;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
46;Sawangan;3;MT. Bogih 07;MT. 622633030046;;Jl. Garuda Raya, RT. 002/007;;;;
;;;;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
47;Sawangan;3;MT. AL-Hasaniyah;MT. 622633030047;;Jl. Abdul Wahab RT 04/07 No. 04 ;;;;
;;;;;;Gg.Muji'in, Kec. Sawangan, Depok;;;;
;;;;;;;;;;
48;Sawangan;3;MT. Al Barkah;MT. 622633030048;;Kampung Legok Menang, RT. 01/07;;;;
;;;;;;Kel. Kedaung, Kec. Sawangan;;;;
;;;;;;;;;;
49;Sawangan;3;MT. Saadatul Ummahaat;MT. 622633030049;;Jl. H. Sulaiman RT. 06 RW. 04;;;;
;;;;;;Bedahan, Sawangan, Kota Depok;;;;
